school_id,school_name,education_level,latitude,longitude
1689,EB 1.2.3 Cafe Aileu,Basic,-8.730585,125.567018
473,EB Catolica 1.2 No 02 Seloi Kraik,Basic,-8.709770,125.522290
513,EB Catolica 1.2 Sao Jose Operario,Basic,-8.616990,125.667480
472,EB Catolica 1.2 Sao Miguel Arcanjo,Basic,-8.644480,125.584390
811,EB Catolica 1.2.3 Sao Paulo Aileu,Basic,-8.733770,125.564380
809,EBC 1.2.3 Aileu,Basic,-8.730610,125.567000
501,EBC 1.2.3 Bereleu Leubuto,Basic,-8.711040,125.964840
978,EBC 1.2.3 D.Baumeta Suco Liurai,Basic,-8.759653,125.551125
1004,EBC 1.2.3 Daisoli,Basic,-8.798604,125.555346
807,EBC 1.2.3 Laulara,Basic,-8.600068,125.598930
508,EBC 1.2.3 Maumeta,Basic,-8.672447,125.656334
509,EBC 1.2.3 Roluli,Basic,-8.630894,125.738026
1002,EBC 3 Bessilau,Basic,-8.644480,125.584390
1003,EBC 3 Fahisoi,Basic,-8.692625,125.633535
805,EBC 3 Remexio,Basic,-8.613340,125.660470
1000,EBC 3 Seloi,Basic,-8.697424,125.537716
767,EBF 1 Aicoarencoa,Basic,-8.672500,125.594570
1491,EBF 1 Basar Hoholau,Basic,-8.651003,125.567455
1283,EBF 1 Berelisu,Basic,-8.644748,125.719194
2259,EBF 1 Beremanuleu,Basic,-8.655780,125.635490
503,EBF 1 Betulau Naumata,Basic,-8.746420,125.650880
968,EBF 1 Casmantuto,Basic,-8.599930,125.616640
2263,EBF 1 Concin,Basic,-8.615000,125.531710
5502,EBF 1 Coulau,Basic,-8.718990,125.555900
1200,EBF 1 Darahe,Basic,-8.802881,125.605494
821,EBF 1 Erbuti,Basic,-8.759710,125.574540
2301,EBF 1 Erheto,Basic,-8.809200,125.528630
891,EBF 1 Fadabloco,Basic,-8.669520,125.687470
5110,EBF 1 Fatubessi,Basic,-8.749800,125.323460
684,EBF 1 Fatubutik,Basic,-8.627785,125.776051
967,EBF 1 Fatumane,Basic,-8.681670,125.526610
5111,EBF 1 Laclo,Basic,-8.811373,125.497042
892,EBF 1 Lerolissa,Basic,-8.618260,125.642540
970,EBF 1 Licimori,Basic,-8.635160,125.568370
875,EBF 1 Mambata,Basic,-8.759190,125.486590
1213,EBF 1 Mautoba,Basic,-8.665433,125.643075
1274,EBF 1 Ornai,Basic,-8.607259,125.582605
5112,EBF 1 Quirilelo,Basic,-8.796988,125.514151
971,EBF 1 Raifusar,Basic,-8.750953,125.718645
1212,EBF 1 Raimerhei,Basic,-8.658792,125.754682
2252,EBF 1 Tablasi,Basic,-8.726030,125.495870
948,EBF 1 Teblor,Basic,-8.802100,125.587690
510,EBF 1 Tulataque,Basic,-8.620884,125.722246
2251,EBF 1 Urbadan,Basic,-8.710230,125.669850
504,EBF 1.2 Acumau,Basic,-8.615590,125.666231
505,EBF 1.2 Aicuros,Basic,-8.617520,125.758340
500,EBF 1.2 Bereleu,Basic,-8.722324,125.678426
502,EBF 1.2 Betulau Lebutun,Basic,-8.731770,125.664060
498,EBF 1.2 Biloco,Basic,-8.741690,125.645800
490,EBF 1.2 Bocolelo,Basic,-8.632830,125.526510
944,EBF 1.2 Cotobauro,Basic,-8.707960,125.538130
494,EBF 1.2 Fahisoi,Basic,-8.691053,125.635496
488,EBF 1.2 Fatuchun,Basic,-8.638398,125.613211
506,EBF 1.2 Faturassa,Basic,-8.662820,125.730360
495,EBF 1.2 Faturilau,Basic,-8.709900,125.738230
5115,EBF 1.2 Halalmeta,Basic,-8.729210,125.490040
5113,EBF 1.2 Hatulai,Basic,-8.756870,125.494750
507,EBF 1.2 Hautoho,Basic,-8.672674,125.673946
481,EBF 1.2 Hoholau,Basic,-8.753400,125.495730
482,EBF 1.2 Hoholete,Basic,-8.798594,125.555336
486,EBF 1.2 Lequitura,Basic,-8.815594,125.596930
487,EBF 1.2 Madabeno,Basic,-8.636750,125.579940
478,EBF 1.2 Malere,Basic,-8.709854,125.563706
479,EBF 1.2 Mantane,Basic,-8.757017,125.568756
5124,EBF 1.2 Manucassa,Basic,-8.707104,125.636506
485,EBF 1.2 Maurussa,Basic,-8.745640,125.517660
496,EBF 1.2 Namolesso,Basic,-8.719104,125.649386
475,EBF 1.2 Saburia,Basic,-8.717260,125.589170
483,EBF 1.2 Sarlala,Basic,-8.673380,125.549100
5510,EBF 1.2 Sicate,Basic,-8.799240,125.555990
511,EBF 1.2 Slaurlala,Basic,-8.646414,125.658116
512,EBF 1.2 Sucoliurai,Basic,-8.574924,125.715096
5503,EBF 1.2 Talito,Basic,-8.613170,125.608530
489,EBF 1.2 Tohumeta,Basic,-8.633314,125.543036
476,EBF 1.2.3 Rairema,Basic,-8.792340,125.533730
