school_id,school_name,education_level,municipality,administrative_post,latitude,longitude
TL-0001,EBF1 Aileu Vila 01 (sample),Basic Education 1st Cycle,Aileu,Aileu Vila,-8.70707,125.56058
TL-0002,EBF3 Aileu Vila 02 (sample),Basic Education 3rd Cycle,Aileu,Aileu Vila,-8.70157,125.60602
TL-0003,EBF1 Aileu Vila 03 (sample),Basic Education 1st Cycle,Aileu,Aileu Vila,-8.73256,125.54865
TL-0004,EBF1 Aileu Vila 04 (sample),Basic Education 1st Cycle,Aileu,Aileu Vila,-8.74688,125.60016
TL-0005,IES Aileu Vila 05 (sample),Higher Education,Aileu,Aileu Vila,-8.71201,125.56307
TL-0006,JI Laulara 01 (sample),Pre-School,Aileu,Laulara,-8.61562,125.57860
TL-0007,EBF1 Laulara 02 (sample),Basic Education 1st Cycle,Aileu,Laulara,-8.69425,125.56793
TL-0008,EBF2 Laulara 03 (sample),Basic Education 2nd Cycle,Aileu,Laulara,-8.62406,125.53050
TL-0009,JI Laulara 04 (sample),Pre-School,Aileu,Laulara,-8.65286,125.58144
TL-0010,EBF3 Lequidoe 01 (sample),Basic Education 3rd Cycle,Aileu,Lequidoe,-8.75285,125.72411
TL-0011,EBF1 Lequidoe 02 (sample),Basic Education 1st Cycle,Aileu,Lequidoe,-8.74962,125.65121
TL-0012,EBF3 Lequidoe 03 (sample),Basic Education 3rd Cycle,Aileu,Lequidoe,-8.75826,125.64883
TL-0013,IES Lequidoe 04 (sample),Higher Education,Aileu,Lequidoe,-8.75264,125.71738
TL-0014,EBF1 Lequidoe 05 (sample),Basic Education 1st Cycle,Aileu,Lequidoe,-8.73894,125.65052
TL-0015,EBF2 Lequidoe 06 (sample),Basic Education 2nd Cycle,Aileu,Lequidoe,-8.73539,125.64547
TL-0016,EBF2 Remexio 01 (sample),Basic Education 2nd Cycle,Aileu,Remexio,-8.65665,125.58217
TL-0017,EBF2 Remexio 02 (sample),Basic Education 2nd Cycle,Aileu,Remexio,-8.61920,125.63269
TL-0018,EBF2 Remexio 03 (sample),Basic Education 2nd Cycle,Aileu,Remexio,-8.70162,125.64571
TL-0019,EBF1 Ainaro 01 (sample),Basic Education 1st Cycle,Ainaro,Ainaro,-8.98378,125.48260
TL-0020,EBF2 Ainaro 02 (sample),Basic Education 2nd Cycle,Ainaro,Ainaro,-8.99304,125.54214
TL-0021,EBF2 Ainaro 03 (sample),Basic Education 2nd Cycle,Ainaro,Ainaro,-8.97669,125.54967
TL-0022,EBF1 Ainaro 04 (sample),Basic Education 1st Cycle,Ainaro,Ainaro,-8.98320,125.52272
TL-0023,EBF3 Hato-Udo 01 (sample),Basic Education 3rd Cycle,Ainaro,Hato-Udo,-9.07980,125.61654
TL-0024,IES Hato-Udo 02 (sample),Higher Education,Ainaro,Hato-Udo,-9.06404,125.63856
TL-0025,EBF3 Hato-Udo 03 (sample),Basic Education 3rd Cycle,Ainaro,Hato-Udo,-9.08940,125.60572
TL-0026,ESG Hato-Udo 04 (sample),Secondary General,Ainaro,Hato-Udo,-9.09303,125.57367
TL-0027,EBF1 Hatu-Builico 01 (sample),Basic Education 1st Cycle,Ainaro,Hatu-Builico,-8.88934,125.49440
TL-0028,EBF1 Hatu-Builico 02 (sample),Basic Education 1st Cycle,Ainaro,Hatu-Builico,-8.91521,125.53027
TL-0029,EBF2 Hatu-Builico 03 (sample),Basic Education 2nd Cycle,Ainaro,Hatu-Builico,-8.86345,125.54354
TL-0030,IES Maubisse 01 (sample),Higher Education,Ainaro,Maubisse,-8.86699,125.60499
TL-0031,EBF1 Maubisse 02 (sample),Basic Education 1st Cycle,Ainaro,Maubisse,-8.82525,125.58496
TL-0032,EBF3 Maubisse 03 (sample),Basic Education 3rd Cycle,Ainaro,Maubisse,-8.79938,125.60845
TL-0033,EBF1 Maubisse 04 (sample),Basic Education 1st Cycle,Ainaro,Maubisse,-8.81556,125.56107
TL-0034,EBF3 Maubisse 05 (sample),Basic Education 3rd Cycle,Ainaro,Maubisse,-8.86362,125.60633
TL-0035,EBF1 Maubisse 06 (sample),Basic Education 1st Cycle,Ainaro,Maubisse,-8.81800,125.58646
TL-0036,ESG Atauro 01 (sample),Secondary General,Atauro,Atauro,-8.25161,125.62212
TL-0037,EBF1 Atauro 02 (sample),Basic Education 1st Cycle,Atauro,Atauro,-8.20079,125.59030
TL-0038,JI Atauro 03 (sample),Pre-School,Atauro,Atauro,-8.26705,125.56320
TL-0039,EBF1 Atauro 04 (sample),Basic Education 1st Cycle,Atauro,Atauro,-8.21601,125.57292
TL-0040,EBF2 Atauro 05 (sample),Basic Education 2nd Cycle,Atauro,Atauro,-8.20307,125.57988
TL-0041,IES Atauro 06 (sample),Higher Education,Atauro,Atauro,-8.20036,125.62595
TL-0042,EBF2 Baguia 01 (sample),Basic Education 2nd Cycle,Baucau,Baguia,-8.65140,126.62738
TL-0043,EBF2 Baguia 02 (sample),Basic Education 2nd Cycle,Baucau,Baguia,-8.57608,126.61883
TL-0044,EBF2 Baguia 03 (sample),Basic Education 2nd Cycle,Baucau,Baguia,-8.58086,126.66283
TL-0045,EBF1 Baucau 01 (sample),Basic Education 1st Cycle,Baucau,Baucau,-8.50458,126.46952
TL-0046,EBF2 Baucau 02 (sample),Basic Education 2nd Cycle,Baucau,Baucau,-8.44530,126.42667
TL-0047,EBF1 Baucau 03 (sample),Basic Education 1st Cycle,Baucau,Baucau,-8.51383,126.43292
TL-0048,IES Baucau 04 (sample),Higher Education,Baucau,Baucau,-8.43669,126.47052
TL-0049,ESG Baucau 05 (sample),Secondary General,Baucau,Baucau,-8.51142,126.45598
TL-0050,JI Baucau 06 (sample),Pre-School,Baucau,Baucau,-8.51073,126.43241
TL-0051,EBF3 Laga 01 (sample),Basic Education 3rd Cycle,Baucau,Laga,-8.55144,126.60774
TL-0052,EBF1 Laga 02 (sample),Basic Education 1st Cycle,Baucau,Laga,-8.48454,126.55958
TL-0053,ESG Laga 03 (sample),Secondary General,Baucau,Laga,-8.54765,126.62671
TL-0054,EBF1 Laga 04 (sample),Basic Education 1st Cycle,Baucau,Laga,-8.49198,126.58177
TL-0055,EBF1 Quelicai 01 (sample),Basic Education 1st Cycle,Baucau,Quelicai,-8.62053,126.56620
TL-0056,EBF1 Quelicai 02 (sample),Basic Education 1st Cycle,Baucau,Quelicai,-8.61211,126.57157
TL-0057,EBF1 Quelicai 03 (sample),Basic Education 1st Cycle,Baucau,Quelicai,-8.57114,126.49366
TL-0058,EBF1 Quelicai 04 (sample),Basic Education 1st Cycle,Baucau,Quelicai,-8.63825,126.49014
TL-0059,ESG Quelicai 05 (sample),Secondary General,Baucau,Quelicai,-8.64153,126.52626
TL-0060,EBF3 Vemasse 01 (sample),Basic Education 3rd Cycle,Baucau,Vemasse,-8.47551,126.19637
TL-0061,ESTV Vemasse 02 (sample),Secondary Technical-Vocational,Baucau,Vemasse,-8.52613,126.22242
TL-0062,EBF2 Vemasse 03 (sample),Basic Education 2nd Cycle,Baucau,Vemasse,-8.50799,126.20356
TL-0063,EBF1 Vemasse 04 (sample),Basic Education 1st Cycle,Baucau,Vemasse,-8.50889,126.23603
TL-0064,EBF1 Vemasse 05 (sample),Basic Education 1st Cycle,Baucau,Vemasse,-8.56224,126.20300
TL-0065,EBF1 Venilale 01 (sample),Basic Education 1st Cycle,Baucau,Venilale,-8.63202,126.43759
TL-0066,JI Venilale 02 (sample),Pre-School,Baucau,Venilale,-8.57930,126.36517
TL-0067,EBF2 Venilale 03 (sample),Basic Education 2nd Cycle,Baucau,Venilale,-8.59254,126.38266
TL-0068,EBF2 Venilale 04 (sample),Basic Education 2nd Cycle,Baucau,Venilale,-8.64543,126.44219
TL-0069,EBF3 Venilale 05 (sample),Basic Education 3rd Cycle,Baucau,Venilale,-8.59009,126.41777
TL-0070,ESTV Venilale 06 (sample),Secondary Technical-Vocational,Baucau,Venilale,-8.64814,126.44415
TL-0071,JI Atabae 01 (sample),Pre-School,Bobonaro,Atabae,-8.85750,125.14337
